Категории;Показывать товар;Артикул;Характеристики;Описание товара;Основная категория;Короткое название;Бренд;Цена_Зачеркнутая;Цена_Розничная;Фотографии
Зоотовары/Товары для кошек/Корма для кошек;1;610266;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Maine Coon;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Мейн-кун;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109383283;
(Характеристики товара)Вес:2 кг";"Для котят породы мейн-кун характерен исключительно долгий период роста, в течение которого формируется их необычайно крупное тело.Адаптированное содержание энергии и белков, а также баланс витаминов и минеральных веществ (в том числе витамина D, кальция и фосфора) помогают поддерживать развитие костей и суставов для гармоничного роста. Высокоусвояемые белки (L.I.P.*) и пребиотики поддерживают баланс кишечной микрофлоры. Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. Крокеты кубической формы адаптированы для массивных челюстей котят породы мейн-кун. Такие крокеты котенку приходится тщательно разгрызать, что позволяет поддерживать гигиену ротовой полости. </p>


Ингредиенты:  Дегидратированное мясо птицы, животные жиры, рис, изолят растительных белков*, кукуруза, пшеничная мука, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, фруктоолигосахариды, минеральные вещества, оболочки и семена подорожника, гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина), гидролизат панциря ракообразных (источник глюкозамина), гидролизат хряща (источник хондроитина).

Добавки в 1 кг:  витамин A: 33500 МЕ, витамин D3: 900 МЕ, витамин E: 670 мг, E1 (железо): 34 мг, E2 (йод): 3,4 мг, E4 (медь): 10 мг, E5 (марганец): 44 мг, E6 (цинк): 131 мг, E8 (селен): 0,07 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.



Содержание питательных веществ:  белки: 36 %, жиры: 23 %, минеральные вещества общие: 8,2 %, клетчатка общая: 2,8 %, кальций: 1,31 %, фосфор: 1,15 %.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Maine Coon 2 кг;ROYAL CANIN;1478;76;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-maine-coon-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610267;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Maine Coon;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Мейн-кун;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:4 кг;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109383306;
(Характеристики товара)Вес:4 кг";"Для котят породы мейн-кун характерен исключительно долгий период роста, в течение которого формируется их необычайно крупное тело.Адаптированное содержание энергии и белков, а также баланс витаминов и минеральных веществ (в том числе витамина D, кальция и фосфора) помогают поддерживать развитие костей и суставов для гармоничного роста. Высокоусвояемые белки (L.I.P.*) и пребиотики поддерживают баланс кишечной микрофлоры. Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. Крокеты кубической формы адаптированы для массивных челюстей котят породы мейн-кун. Такие крокеты котенку приходится тщательно разгрызать, что позволяет поддерживать гигиену ротовой полости. </p>


Ингредиенты:  Дегидратированное мясо птицы, животные жиры, рис, изолят растительных белков*, кукуруза, пшеничная мука, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, фруктоолигосахариды, минеральные вещества, оболочки и семена подорожника, гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина), гидролизат панциря ракообразных (источник глюкозамина), гидролизат хряща (источник хондроитина).

Добавки в 1 кг:  витамин A: 33500 МЕ, витамин D3: 900 МЕ, витамин E: 670 мг, E1 (железо): 34 мг, E2 (йод): 3,4 мг, E4 (медь): 10 мг, E5 (марганец): 44 мг, E6 (цинк): 131 мг, E8 (селен): 0,07 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.



Содержание питательных веществ:  белки: 36 %, жиры: 23 %, минеральные вещества общие: 8,2 %, клетчатка общая: 2,8 %, кальций: 1,31 %, фосфор: 1,15 %.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Maine Coon 4 кг;ROYAL CANIN;2835;160;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-maine-coon-4-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610268;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Maine Coon;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Мейн-кун;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:400 г;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109383269;
(Характеристики товара)Вес:400 г";"Для котят породы мейн-кун характерен исключительно долгий период роста, в течение которого формируется их необычайно крупное тело.Адаптированное содержание энергии и белков, а также баланс витаминов и минеральных веществ (в том числе витамина D, кальция и фосфора) помогают поддерживать развитие костей и суставов для гармоничного роста. Высокоусвояемые белки (L.I.P.*) и пребиотики поддерживают баланс кишечной микрофлоры. Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. Крокеты кубической формы адаптированы для массивных челюстей котят породы мейн-кун. Такие крокеты котенку приходится тщательно разгрызать, что позволяет поддерживать гигиену ротовой полости. </p>


Ингредиенты:  Дегидратированное мясо птицы, животные жиры, рис, изолят растительных белков*, кукуруза, пшеничная мука, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, фруктоолигосахариды, минеральные вещества, оболочки и семена подорожника, гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина), гидролизат панциря ракообразных (источник глюкозамина), гидролизат хряща (источник хондроитина).

Добавки в 1 кг:  витамин A: 33500 МЕ, витамин D3: 900 МЕ, витамин E: 670 мг, E1 (железо): 34 мг, E2 (йод): 3,4 мг, E4 (медь): 10 мг, E5 (марганец): 44 мг, E6 (цинк): 131 мг, E8 (селен): 0,07 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.



Содержание питательных веществ:  белки: 36 %, жиры: 23 %, минеральные вещества общие: 8,2 %, клетчатка общая: 2,8 %, кальций: 1,31 %, фосфор: 1,15 %.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Maine Coon 400 г;ROYAL CANIN;;328;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-maine-coon-400-g.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610269;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Maine Coon;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Мейн-кун;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:800 г;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109383405;
(Характеристики товара)Вес:800 г";"Для котят породы мейн-кун характерен исключительно долгий период роста, в течение которого формируется их необычайно крупное тело.Адаптированное содержание энергии и белков, а также баланс витаминов и минеральных веществ (в том числе витамина D, кальция и фосфора) помогают поддерживать развитие костей и суставов для гармоничного роста. Высокоусвояемые белки (L.I.P.*) и пребиотики поддерживают баланс кишечной микрофлоры. Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. Крокеты кубической формы адаптированы для массивных челюстей котят породы мейн-кун. Такие крокеты котенку приходится тщательно разгрызать, что позволяет поддерживать гигиену ротовой полости. </p>


Ингредиенты:  Дегидратированное мясо птицы, животные жиры, рис, изолят растительных белков*, кукуруза, пшеничная мука, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, фруктоолигосахариды, минеральные вещества, оболочки и семена подорожника, гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина), гидролизат панциря ракообразных (источник глюкозамина), гидролизат хряща (источник хондроитина).

Добавки в 1 кг:  витамин A: 33500 МЕ, витамин D3: 900 МЕ, витамин E: 670 мг, E1 (железо): 34 мг, E2 (йод): 3,4 мг, E4 (медь): 10 мг, E5 (марганец): 44 мг, E6 (цинк): 131 мг, E8 (селен): 0,07 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.



Содержание питательных веществ:  белки: 36 %, жиры: 23 %, минеральные вещества общие: 8,2 %, клетчатка общая: 2,8 %, кальций: 1,31 %, фосфор: 1,15 %.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Maine Coon 400+400 г;ROYAL CANIN;;328;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-maine-coon-400400-g.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610270;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Persian;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Персидская кошка;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:10 кг;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:3182550721233;
(Характеристики товара)Вес:10 кг";"В период роста у персидских котят появляется длинная, густая шелковистая шерсть – отличительный признак породы. Адаптированное содержание белков и точный баланс витаминов и минеральных веществ (в том числе кальция и фосфора) способствуют гармоничному росту, поддерживают здоровье кожи и красоту шерсти. Высокоусвояемые белки, адаптированное содержание клетчатки (в том числе подорожника Psyllium) и пребиотики поддерживают баланс кишечной микрофлоры. Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. Мелкие квадратные крокеты с мягкой текстурой, которые легко захватывать и разгрызать котятам персидской породы. </p>


Ингредиенты:  Дегидратированное мясо птицы, рис, животные жиры, кукуруза, изолят растительных белков*, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, минеральные вещества, фруктоолигосахариды, оболочки и семена подорожника (0,5 %), гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина).

Добавки в 1 кг:  витамин A: 32000 МЕ, витамин D3: 900 МЕ, витамин E: 650 мг, E1 (железо): 38 мг, E2 (йод): 3,8 мг, E4 (медь): 12 мг, E5 (марганец): 50 мг, E6 (цинк): 150 мг, E8 (селен): 0,08 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.



Содержание питательных веществ:  белки: 32 %, жиры: 22 %, минеральные вещества общие: 7,9 %, клетчатка общая: 2,8 %, кальций: 1,2 %, фосфор: 1 %. В 1 кг: жирные кислоты Омега 6: 49,4 г – жирные кислоты Омега 3: 10,8 г.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Persian 10 кг;ROYAL CANIN;;6598;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-persian-10-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610271;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Persian;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Персидская кошка;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:3182550721219;
(Характеристики товара)Вес:2 кг";"Полнорационный корм для персидских котят. То, как протекала фаза роста, будет сказываться на здоровье персидского котенка на протяжении всей его жизни! Вот почему на данном этапе следует уделять животному особое внимание, учитывая типичные характеристики породы, которые проявляются уже в раннем возрасте. Одной из немаловажных задач является обеспечение правильного питания и выбор специального корма для котят персов. У персидского котенка густая и длинная шерсть, которая впоследствии сменится на еще более роскошный «взрослый» шерстный покров. Это один из важнейших поводов купить специализированный корм для животных данной породы. Брахицефальное строение челюсти персидских кошек («плоская морда») вынуждает котенка захватывать корм нижней поверхностью языка. Поэтому ему нужны крокеты специальной формы, удобные для захвата. В период роста у персидских котят появляется длинная, густая шелковистая шерсть – отличительный признак породы. Адаптированное содержание белков и точный баланс витаминов и минеральных веществ (в том числе кальция и фосфора) способствуют гармоничному росту, поддерживают здоровье кожи и красоту шерсти. Мелкие квадратные крокеты с мягкой текстурой, которые легко захватывать и разгрызать котятам персидской породы. </p>


Ингредиенты:   Дегидратированное мясо птицы, рис, животные жиры, кукуруза, изолят растительных белков*, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, минеральные вещества, фруктоолигосахариды, оболочки и семена подорожника (0,5 %), гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина).

Добавки в 1 кг:   Витамин A: 32000 МЕ, витамин D3: 900 МЕ, витамин E: 650 мг, E1 (железо): 38 мг, E2 (йод): 3,8 мг, E4 (медь): 12 мг, E5 (марганец): 50 мг, E6 (цинк): 150 мг, E8 (селен): 0,08 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.

Содержание питательных веществ:   Белки: 32 %, жиры: 22 %, минеральные вещества общие: 7,9 %, клетчатка общая: 2,8 %, кальций: 1,2 %, фосфор: 1 %. В 1 кг: жирные кислоты Омега 6: 49,4 г – жирные кислоты Омега 3: 10,8 г.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Persian 2 кг;ROYAL CANIN;;1438;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-persian-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610272;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Persian;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Персидская кошка;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:400 г;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109382392;
(Характеристики товара)Вес:400 г";"В период роста у персидских котят появляется длинная, густая шелковистая шерсть – отличительный признак породы. Адаптированное содержание белков и точный баланс витаминов и минеральных веществ (в том числе кальция и фосфора) способствуют гармоничному росту, поддерживают здоровье кожи и красоту шерсти. Высокоусвояемые белки, адаптированное содержание клетчатки (в том числе подорожника Psyllium) и пребиотики поддерживают баланс кишечной микрофлоры. Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. Мелкие квадратные крокеты с мягкой текстурой, которые легко захватывать и разгрызать котятам персидской породы. </p>


Ингредиенты:  Дегидратированное мясо птицы, рис, животные жиры, кукуруза, изолят растительных белков*, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, минеральные вещества, фруктоолигосахариды, оболочки и семена подорожника (0,5 %), гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина).

Добавки в 1 кг:  витамин A: 32000 МЕ, витамин D3: 900 МЕ, витамин E: 650 мг, E1 (железо): 38 мг, E2 (йод): 3,8 мг, E4 (медь): 12 мг, E5 (марганец): 50 мг, E6 (цинк): 150 мг, E8 (селен): 0,08 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.



Содержание питательных веществ:  белки: 32 %, жиры: 22 %, минеральные вещества общие: 7,9 %, клетчатка общая: 2,8 %, кальций: 1,2 %, фосфор: 1 %. В 1 кг: жирные кислоты Омега 6: 49,4 г – жирные кислоты Омега 3: 10,8 г.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Persian 400 г;ROYAL CANIN;;328;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-persian-400-g.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610273;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Persian;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Персидская кошка;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:800 г;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109385676;
(Характеристики товара)Вес:800 г";"В период роста у персидских котят появляется длинная, густая шелковистая шерсть – отличительный признак породы. Адаптированное содержание белков и точный баланс витаминов и минеральных веществ (в том числе кальция и фосфора) способствуют гармоничному росту, поддерживают здоровье кожи и красоту шерсти. Высокоусвояемые белки, адаптированное содержание клетчатки (в том числе подорожника Psyllium) и пребиотики поддерживают баланс кишечной микрофлоры. Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. Мелкие квадратные крокеты с мягкой текстурой, которые легко захватывать и разгрызать котятам персидской породы. </p>


Ингредиенты:  Дегидратированное мясо птицы, рис, животные жиры, кукуруза, изолят растительных белков*, гидролизат белков животного происхождения, растительная клетчатка, свекольный жом, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, минеральные вещества, фруктоолигосахариды, оболочки и семена подорожника (0,5 %), гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина).

Добавки в 1 кг:  витамин A: 32000 МЕ, витамин D3: 900 МЕ, витамин E: 650 мг, E1 (железо): 38 мг, E2 (йод): 3,8 мг, E4 (медь): 12 мг, E5 (марганец): 50 мг, E6 (цинк): 150 мг, E8 (селен): 0,08 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.



Содержание питательных веществ:  белки: 32 %, жиры: 22 %, минеральные вещества общие: 7,9 %, клетчатка общая: 2,8 %, кальций: 1,2 %, фосфор: 1 %. В 1 кг: жирные кислоты Омега 6: 49,4 г – жирные кислоты Омега 3: 10,8 г.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Persian 400+400 г;ROYAL CANIN;341;307;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-persian-400400-g.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610274;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Kitten Sterilised;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Стерилизация / Кастрация;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109380275;
(Характеристики товара)Вес:2 кг";"Полнорационный сухой корм подходит стерилизованным котятам с момента операции до 12 месяцев. После стерилизации изменяются энергетические потребности котенка, поэтому возрастает риск появления лишнего веса. Формула продукта отличается умеренным содержанием жиров, помогая ограничить набор веса и не уменьшая количество потребляемых белков, кальция и фосфора, для гармоничного роста. Помогает поддерживать естественные защитные механизмы котенка во второй фазе роста благодаря запатентованному* комплексу антиоксидантов, включающему витамин Е. Повышенная усвояемость корма благодаря высокоусвояемым белкам (L.I.P.*) и пребиотикам (включая FOS-MOS). </p>


Ингредиенты:  Изолят растительных белков*, дегидратированные белки животного происхождения (птица), растительная клетчатка, рис, злаки, животные жиры, гидролизат белков животного происхождения, минеральные вещества, дрожжи и побочные продукты брожения, соевое масло, рыбий жир, оболочка и семена подорожника, фруктоолигосахариды (0,36 %), гидролизат дрожжей (источник мaннановых олигосахаридов), экстракт бархатцев прямостоячих (источник лютеина).

Добавки в 1 кг:  Витамин A: 19500 ME, Витамин D3: 700 ME, Витамин E: 600 мг, Железо: 37 мг, Йод: 3,7 мг, Марганец: 48 мг, Цинк: 145 мг, Ceлeн: 0,06 мг - Технологические добавки: Клиноптилолит осадочного происхождения: 10 г - Консерванты - Антиокислители.

Содержание питательных веществ:  Белки: 34 % - Жиры: 12 % - Минеральные вещества: 8 % - Клетчатка пищевая: 10,2 % - Кальций: 1 % - Фосфор: 0,95 % - Медь: 15 мг/кг.


Способ употребления:  Корм готов к употреблению. Проследите, чтобы у вашей кошки всегда была свежая вода. Номер серии, регистрационный номер завода-изготовителя и срок годности указаны на упаковке. Хранить в сухом, прохладном месте.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Sterilised 2 кг;ROYAL CANIN;1321;51;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-sterilised-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610275;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Kitten Sterilised;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Стерилизация / Кастрация;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:400 г;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109380268;
(Характеристики товара)Вес:400 г";"Полнорационный сухой корм подходит стерилизованным котятам с момента операции до 12 месяцев. После стерилизации изменяются энергетические потребности котенка, поэтому возрастает риск появления лишнего веса. Формула продукта отличается умеренным содержанием жиров, помогая ограничить набор веса и не уменьшая количество потребляемых белков, кальция и фосфора, для гармоничного роста. Помогает поддерживать естественные защитные механизмы котенка во второй фазе роста благодаря запатентованному* комплексу антиоксидантов, включающему витамин Е. Повышенная усвояемость корма благодаря высокоусвояемым белкам (L.I.P.*) и пребиотикам (включая FOS-MOS). </p>


Ингредиенты:  Изолят растительных белков*, дегидратированные белки животного происхождения (птица), растительная клетчатка, рис, злаки, животные жиры, гидролизат белков животного происхождения, минеральные вещества, дрожжи и побочные продукты брожения, соевое масло, рыбий жир, оболочка и семена подорожника, фруктоолигосахариды (0,36 %), гидролизат дрожжей (источник мaннановых олигосахаридов), экстракт бархатцев прямостоячих (источник лютеина).

Добавки в 1 кг:  Витамин A: 19500 ME, Витамин D3: 700 ME, Витамин E: 600 мг, Железо: 37 мг, Йод: 3,7 мг, Марганец: 48 мг, Цинк: 145 мг, Ceлeн: 0,06 мг - Технологические добавки: Клиноптилолит осадочного происхождения: 10 г - Консерванты - Антиокислители.

Содержание питательных веществ:  Белки: 34 % - Жиры: 12 % - Минеральные вещества: 8 % - Клетчатка пищевая: 10,2 % - Кальций: 1 % - Фосфор: 0,95 % - Медь: 15 мг/кг.


Способ употребления:  Корм готов к употреблению. Проследите, чтобы у вашей кошки всегда была свежая вода. Номер серии, регистрационный номер завода-изготовителя и срок годности указаны на упаковке. Хранить в сухом, прохладном месте.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм для котят Kitten Sterilised 400 г;ROYAL CANIN;;301;/storage/photo/original/d/royal-canin-suhoj-korm-dlya-kotyat-kitten-sterilised-400-g.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610276;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN ;
(Характеристики товара)Ветеринарные показания и специальные потребности:Забота о коже и шерсти;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Порода:Персидская кошка;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4627109387373;
(Характеристики товара)Вес:2 кг";"<p>
ROYAL CANIN Kitten Persian полнорационный корм для котят персидской породы в возрасте от 4 до 12 месяцев. То, как протекала фаза роста, будет сказываться на здоровье персидского котенка на протяжении всей его жизни! Вот почему на данном этапе следует уделять животному особое внимание, учитывая типичные характеристики породы, которые проявляются уже в раннем возрасте. Одной из немаловажных задач является обеспечение правильного питания и выбор специального корма для котят персов. Белки, жиры, углеводы, минеральные вещества… Котенок должен получать все питательные вещества строго в необходимом количестве: это основа здорового пищеварения. Иммунная система еще не сформировалась полностью. В течение фазы роста иммунитет, полученный от матери (антитела, содержащиеся в молозиве), постепенно ослабевает, в то время как собственная иммунная система котят развивается достаточно медленно. У персидского котенка густая и длинная шерсть, которая впоследствии сменится на еще более роскошный «взрослый» шерстный покров. Это один из важнейших поводов купить специализированный корм для животных данной породы. Брахицефальное строение челюсти персидских кошек («плоская морда») вынуждает котенка захватывать корм нижней поверхностью языка. Поэтому ему нужны крокеты специальной формы, удобные для захвата. </p>

Особенности Продукта:

<li>
Сухой корм для котят Персидской породы
<li>
Здоровое пищеварение и поддержка иммунитета
<li>
Гармоничный рост и длинная красивая шерсть

Ингредиенты:
Дегидратированные белки животного происхождения (птица), рис, животные жиры, пшеница, изолят растительных белков*, гидролизат белков животного происхождения (вкусоароматические добавки), растительная клетчатка, дрожжи и побочные продукты брожения, рыбий жир, минеральные вещества, соевое масло, оболочки и семена подорожника (0,5 %), фруктоолигосахариды, гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина).

Добавки в 1 кг:
Витамин A: 32000 МЕ, витамин D3: 900 МЕ, витамин E: 650 мг, E1 (железо): 38 мг, E2 (йод): 3,8 мг, E4 (медь): 12 мг, E5 (марганец): 50 мг, E6 (цинк): 150 мг, E8 (селен): 0,08 мг – технологические добавки: клиноптилолит осадочного происхождения: 10 г – консерванты – антиоксиданты.

Содержание питательных веществ:
Белки: 32 % - Жиры: 22 % - Минеральные вещества: 7,9 % - Клетчатка общая: 2,8 %.";Зоотовары/Товары для кошек/Корма для кошек;ROYAL CANIN сухой корм Kitten Persian для котят персидской породы в возрасте от 4 до 12 месяцев 2 кг;;;1438;/storage/photo/original/d/royal-canin-suhoj-korm-kitten-persian-dlya-kotyat-persidskoj-porodi-v-vozraste-ot-4-do-12-mesyacev-2-kg.jpg
