"";"Цена_Зачеркнутая";"Цена_Трансазия";"Цена_Розничная";"Цена_Трансазия_от 3 шт.";"Минимальное количество"
"150206";"";"52";"65";"";"1"
"150205";"";"52";"65";"";"1"
"150209";"";"45";"56";"";"1"
"150208";"";"44";"55";"";"1"
"150207";"";"99";"124";"";"1"
"150211";"";"35";"44";"";"1"
"150212";"";"29";"36";"";"1"
"150210";"";"40";"50";"";"1"
"150214";"";"29";"36";"";"1"
"150220";"";"81";"101";"";"1"
"150217";"";"105";"131";"";"1"
"150221";"";"81";"101";"";"1"
"150224";"";"108";"135";"";"1"
"150223";"";"108";"135";"";"1"
"150227";"";"111";"139";"";"1"
"150232";"";"20";"25";"";"1"
"150229";"";"20";"25";"";"1"
"150230";"";"20";"25";"";"1"
"150231";"";"20";"25";"";"1"
"150246";"";"67";"84";"";"1"
"150233";"";"20";"25";"";"1"
"150235";"";"20";"25";"";"1"
"170206";"";"76";"95";"";"1"
"150234";"";"22";"28";"";"1"
"150236";"";"48";"60";"";"1"
"150261";"";"69";"86";"";"1"
"150255";"";"42";"52";"";"1"
"150241";"";"77";"96";"";"1"
"150249";"";"51";"64";"";"1"
"150247";"";"34";"42";"";"1"
"150248";"";"75";"94";"";"1"
"150250";"";"99";"124";"";"1"
"150252";"";"354";"442";"";"1"
"150253";"";"83";"104";"";"1"
"150251";"";"43";"54";"";"1"
"150256";"";"58";"72";"";"1"
"150254";"";"184";"230";"";"1"
"150259";"";"204";"255";"";"1"
"150260";"";"48";"60";"";"1"
"150257";"";"138";"172";"";"1"
"150258";"";"328";"410";"";"1"
"150283";"";"129";"161";"";"1"
"150280";"";"111";"139";"";"1"
"150279";"";"167";"209";"";"1"
"150278";"";"121";"151";"";"1"
"150284";"";"131";"164";"";"1"
"150274";"";"10";"12";"";"1"
"150273";"";"52";"65";"";"1"
"150286";"";"218";"272";"";"1"
"150264";"";"113";"141";"";"1"
"150265";"";"119";"149";"";"1"
"150276";"";"111";"139";"";"1"
"150269";"103";"50";"62";"";"1"
"170210";"";"279";"349";"";"1"
"150285";"";"107";"134";"";"1"
"150281";"";"186";"232";"";"1"
"180017";"";"153";"191";"";"1"
"180019";"";"150";"188";"";"1"
"180018";"";"258";"322";"";"1"
"170209";"";"286";"358";"";"1"
"150289";"";"383";"479";"";"1"
"180020";"";"502";"628";"";"1"
"150288";"";"332";"415";"";"1"
"170208";"";"353";"441";"";"1"
"180021";"";"408";"510";"";"1"
"150290";"";"305";"381";"";"1"
"170212";"";"103";"129";"";"1"
"150301";"";"71";"89";"";"1"
"170213";"";"85";"106";"";"1"
"170217";"";"60";"75";"";"1"
"170214";"";"83";"104";"";"1"
"150293";"";"402";"502";"";"1"
"150294";"";"89";"111";"";"1"
"150292";"";"241";"301";"";"1"
"150295";"";"75";"94";"";"1"
"150297";"";"82";"102";"";"1"
"150306";"";"63";"79";"";"1"
"150307";"";"27";"34";"";"1"
"150305";"";"";" ";"";"1"
"170218";"";"40";"50";"";"1"
"180010";"";"94";"118";"";"1"
"150308";"";"47";"59";"";"1"
"150309";"";"50";"62";"";"1"
"150310";"";"153";"191";"";"1"
"120098";"";"70";"88";"";"1"
"180012";"";"79";"99";"";"1"
"180011";"";"75";"94";"";"1"
"120170";"";"246";"308";"";"1"
"120233";"";"235";"294";"";"1"
"120174";"";"164";"205";"";"1"
"120068";"";"335";"419";"";"1"
"120175";"";"86";"108";"";"1"
"120141";"";"124";"155";"";"1"
"120231";"";"260";"325";"";"1"
"120064";"";"77";"96";"";"1"
"120188";"";"84";"105";"";"1"
"120063";"";"77";"96";"";"1"
"120061";"";"77";"96";"";"1"
"120071";"";"77";"96";"";"1"
"124034";"";"119";"149";"";"1"
"120060";"";"77";"96";"";"1"
"120099";"";"76";"95";"";"1"
"120067";"";"79";"99";"";"1"
"120070";"";"77";"96";"";"1"
"120062";"";"79";"99";"";"1"
"120248";"";"59";"74";"";"1"
"120234";"";"235";"294";"";"1"
"120247";"";"59";"74";"";"1"
"180022";"";"59";"74";"";"1"
"120235";"";"79";"99";"";"1"
"120239";"";"79";"99";"";"1"
"170317";"";"235";"294";"";"1"
"120065";"";"77";"96";"";"1"
"120190";"";"72";"90";"";"1"
"120059";"";"77";"96";"";"1"
"120183";"";"161";"201";"";"1"
"120240";"";"235";"294";"";"1"
"170320";"";"84";"105";"";"1"
"120232";"";"79";"99";"";"1"
"120058";"";"77";"96";"";"1"
"120187";"";"72";"90";"";"1"
"120189";"";"157";"196";"";"1"
"170319";"";"68";"85";"";"1"
"170318";"";"84";"105";"";"1"
"120182";"";"72";"90";"";"1"
"170315";"";"234";"292";"";"1"
"120052";"";"140";"175";"";"1"
"120050";"";"81";"101";"";"1"
"120051";"";"100";"125";"";"1"
"120054";"";"49";"61";"";"1"
"120056";"";"151";"189";"";"1"
"120072";"";"81";"101";"";"1"
"120057";"";"43";"54";"";"1"
"120074";"";"39";"49";"";"1"
"120075";"";"76";"95";"";"1"
"120076";"";"76";"95";"";"1"
"120077";"";"76";"95";"";"1"
"120079";"";"76";"95";"";"1"
"120078";"";"144";"180";"";"1"
"120080";"";"144";"180";"";"1"
"120081";"";"77";"96";"";"1"
"120082";"";"76";"95";"";"1"
"120083";"";"70";"88";"";"1"
"120087";"";"70";"88";"";"1"
"120086";"";"240";"300";"";"1"
"120090";"";"240";"300";"";"1"
"120088";"";"70";"88";"";"1"
"120089";"";"240";"300";"";"1"
"120091";"";"70";"88";"";"1"
"120102";"";"70";"88";"";"1"
"120093";"";"70";"88";"";"1"
"120095";"";"70";"88";"";"1"
"120106";"";"240";"300";"";"1"
"120097";"";"70";"88";"";"1"
"120101";"";"70";"88";"";"1"
"120100";"";"70";"88";"";"1"
"120107";"";"70";"88";"";"1"
"120108";"";"70";"88";"";"1"
"120103";"";"76";"95";"";"1"
"120117";"";"90";"112";"";"1"
"170316";"";"246";"308";"";"1"
"120122";"84";"25";"31";"";"1"
"120123";"";"225";"281";"";"1"
"120126";"84";"25";"31";"";"1"
"120124";"";"225";"281";"";"1"
"120131";"";"62";"78";"";"1"
"120129";"";"112";"140";"";"1"
"120128";"";"35";"44";"";"1"
"120130";"";"218";"272";"";"1"
"120135";"";"106";"132";"";"1"
"120136";"";"106";"132";"";"1"
"120139";"";"210";"262";"";"1"
"120137";"";"110";"138";"";"1"
"120133";"";"62";"78";"";"1"
"120140";"";"62";"78";"";"1"
"120143";"";"81";"101";"";"1"
"120144";"";"84";"105";"";"1"
"120142";"";"62";"78";"";"1"
"120145";"";"84";"105";"";"1"
"120148";"";"84";"105";"";"1"
"120150";"";"81";"101";"";"1"
"120149";"";"81";"101";"";"1"
"120146";"";"81";"101";"";"1"
"120147";"";"81";"101";"";"1"
"120151";"";"84";"105";"";"1"
"120157";"";"84";"105";"";"1"
"120153";"";"81";"101";"";"1"
"120152";"";"84";"105";"";"1"
"120155";"";"84";"105";"";"1"
"120158";"";"84";"105";"";"1"
"120161";"";"82";"102";"";"1"
"120163";"";"66";"82";"";"1"
"120162";"";"225";"281";"";"1"
"120160";"";"81";"101";"";"1"
"120164";"";"81";"101";"";"1"
"120171";"";"117";"146";"";"1"
"120166";"";"81";"101";"";"1"
"120167";"";"81";"101";"";"1"
"120168";"";"84";"105";"";"1"
"120165";"";"68";"85";"";"1"
"120173";"";"606";"758";"588";"1"
"120177";"";"311";"389";"";"1"
"120184";"";"157";"196";"";"1"
"120185";"";"44";"55";"";"1"
"120178";"";"485";"606";"";"1"
"120191";"";"21";"26";"";"1"
"120192";"";"20";"25";"";"1"
"120195";"";"23";"29";"";"1"
"120194";"";"26";"32";"";"1"
"120193";"";"64";"80";"";"1"
"120196";"";"20";"25";"";"1"
"120197";"";"20";"25";"";"1"
"120198";"";"20";"25";"";"1"
"120203";"";"48";"60";"";"1"
"120204";"";"41";"51";"";"1"
"120205";"";"54";"68";"";"1"
"120207";"";"41";"51";"";"1"
"120212";"";"38";"48";"";"1"
"120202";"";"121";"151";"";"1"
"120211";"";"38";"48";"";"1"
"120206";"";"56";"70";"";"1"
"120213";"";"38";"48";"";"1"
"120210";"";"38";"48";"";"1"
"170321";"";"38";"48";"";"1"
"120218";"";"38";"48";"";"1"
"120220";"";"38";"48";"";"1"
"120222";"";"36";"45";"";"1"
"120221";"";"126";"158";"";"1"
"120223";"";"69";"86";"";"1"
"120229";"";"35";"44";"";"1"
"120227";"";"30";"38";"";"1"
"120224";"";"38";"48";"";"1"
"120225";"";"38";"48";"";"1"
"120228";"";"38";"48";"";"1"
"120226";"";"39";"49";"";"1"
"120230";"";"35";"44";"";"1"
"120241";"";"68";"85";"";"1"
"120244";"";"59";"74";"";"1"
"120245";"";"59";"74";"";"1"
"130010";"";"67";"84";"";"1"
"120249";"";"59";"74";"";"1"
"130012";"";"88";"110";"";"1"
"110050";"";"455";"569";"";"1"
"170278";"";"117";"146";"";"1"
"110058";"";"463";"579";"";"1"
"170294";"";"298";"372";"";"1"
"110056";"643";"499";"624";"";"1"
"110127";"";"56";"70";"";"1"
"110132";"";"99";"124";"";"1"
"110133";"";"99";"124";"";"1"
"170292";"";"303";"379";"";"1"
"110131";"";"99";"124";"";"1"
"110074";"";"553";"691";"";"1"
"110069";"";"235";"294";"";"1"
"170297";"";"249";"311";"";"1"
"170298";"";"227";"284";"";"1"
"110068";"";"235";"294";"";"1"
"110065";"";"235";"294";"";"1"
"110070";"";"310";"388";"";"1"
"170299";"";"249";"311";"";"1"
"110067";"";"249";"311";"";"1"
"170293";"";"297";"371";"";"1"
"110066";"";"895";"1119";"868";"1"
"170302";"";"183";"229";"";"1"
"170301";"";"65";"81";"";"1"
"170295";"";"9";"11";"";"24"
"170287";"486";"322";"402";"";"1"
"170309";"";"199";"249";"";"1"
"170295";"";"9";"11";"";"24"
"170310";"";"150";"188";"";"1"
"170311";"";"221";"276";"";"1"
"170290";"";"439";"549";"";"1"
"180023";"";"266";"332";"";"1"
"170285";"";"217";"271";"";"1"
"170283";"";"269";"336";"";"1"
"170279";"";"533";"666";"";"1"
"170288";"";"531";"664";"";"1"
"170289";"";"159";"199";"";"1"
"170291";"";"321";"401";"";"1"
"170284";"";"284";"355";"";"1"
"170282";"";"292";"365";"";"1"
"170280";"";"524";"655";"";"1"
"170281";"";"395";"494";"";"1"
"170286";"";"276";"345";"";"1"
"110051";"";"268";"335";"";"1"
"110054";"";"395";"494";"";"1"
"110053";"";"395";"494";"";"1"
"110052";"";"395";"494";"";"1"
"110055";"";"255";"319";"";"1"
"110061";"";"160";"200";"";"1"
"110060";"";"230";"288";"";"1"
"110062";"";"10";"12";"";"26"
"110059";"";"141";"176";"";"1"
"110072";"";"298";"372";"";"1"
"110063";"";"338";"422";"";"1"
"110064";"";"491";"614";"";"1"
"110073";"";"512";"640";"";"1"
"110075";"";"1143";"1429";"1109";"1"
"110076";"";"298";"372";"";"1"
"110080";"";"111";"139";"";"1"
"110081";"";"253";"316";"";"1"
"110084";"";"151";"189";"";"1"
"110078";"";"96";"120";"";"1"
"110086";"";"217";"271";"";"1"
"170308";"";"75";"94";"";"1"
"110087";"";"176";"220";"";"1"
"110188";"";"195";"244";"";"1"
"170300";"";"148";"185";"";"1"
"110085";"";"200";"250";"";"1"
"110091";"";"151";"189";"";"1"
"110088";"";"165";"206";"";"1"
"110089";"";"182";"228";"";"1"
"110094";"";"196";"245";"";"1"
"110095";"";"343";"429";"";"1"
"110090";"";"123";"154";"";"1"
"110096";"";"271";"339";"";"1"
"110092";"";"196";"245";"";"1"
"110100";"";"207";"259";"";"1"
"110099";"";"9";"11";"";"26"
"110101";"";"207";"259";"";"1"
"110105";"";"11";"14";"";"24"
"110103";"";"343";"429";"";"1"
"110104";"";"508";"635";"";"1"
"110106";"";"98";"122";"";"1"
"110116";"";"232";"290";"";"1"
"110110";"";"271";"339";"";"1"
"110113";"";"271";"339";"";"1"
"110107";"";"175";"219";"";"1"
"110109";"";"183";"229";"";"1"
"110118";"";"313";"391";"";"1"
"110117";"";"400";"500";"";"1"
"110108";"";"974";"1218";"945";"1"
"110112";"";"175";"219";"";"1"
"110123";"";"201";"251";"";"1"
"110122";"";"245";"306";"";"1"
"110124";"";"135";"169";"";"1"
"110140";"";"220";"275";"";"1"
"110137";"";"50";"62";"";"1"
"110138";"";"84";"105";"";"1"
"110134";"";"260";"325";"";"1"
"110143";"";"235";"294";"";"1"
"110136";"";"351";"439";"";"1"
"110126";"";"135";"169";"";"1"
"110187";"";"250";"312";"";"1"
"110128";"";"256";"320";"";"1"
"110144";"";"235";"294";"";"1"
"110145";"";"136";"170";"";"1"
"110149";"";"217";"271";"";"1"
"110150";"";"228";"285";"";"1"
"110151";"";"203";"254";"";"1"
"110153";"";"212";"265";"";"1"
"110158";"";"185";"231";"";"1"
"110154";"";"175";"219";"";"1"
"110159";"";"178";"222";"";"1"
"110152";"";"266";"332";"";"1"
"110155";"";"321";"401";"";"1"
"110157";"";"192";"240";"";"1"
"110161";"";"185";"231";"";"1"
"110160";"";"192";"240";"";"1"
"110162";"";"178";"222";"";"1"
"170307";"";"117";"146";"";"1"
"170306";"";"92";"115";"";"1"
"170305";"";"92";"115";"";"1"
"170304";"";"118";"148";"";"1"
"110169";"";"133";"166";"";"1"
"110163";"";"210";"262";"";"1"
"110167";"";"133";"166";"";"1"
"110164";"";"210";"262";"";"1"
"110166";"";"120";"150";"";"1"
"110168";"";"133";"166";"";"1"
"110172";"";"111";"139";"";"1"
"110173";"";"105";"131";"";"1"
"130016";"";"81";"101";"";"1"
"110170";"";"240";"300";"";"1"
"130027";"";"98";"122";"";"1"
"170313";"";"29";"36";"";"1"
"130021";"";"98";"122";"";"1"
"170312";"";"39";"49";"";"1"
"130022";"";"98";"122";"";"1"
"130036";"";"53";"66";"";"1"
"140057";"";"110";"138";"";"1"
"140032";"";"105";"131";"";"1"
"140027";"";"208";"260";"";"1"
"130028";"";"49";"61";"";"1"
"130034";"";"188";"235";"";"1"
"140052";"228";"114";"142";"";"1"
"140035";"";"105";"131";"";"1"
"140033";"";"105";"131";"";"1"
"130035";"";"157";"196";"";"1"
"140034";"";"105";"131";"";"1"
"140045";"";"69";"86";"";"1"
"140042";"";"522";"652";"";"1"
"140044";"";"69";"86";"";"1"
"140039";"";"115";"144";"";"1"
"140040";"";"115";"144";"";"1"
"140056";"";"172";"215";"";"1"
"140041";"";"115";"144";"";"1"
"140043";"";"549";"686";"";"1"
"140077";"";"190";"238";"";"1"
"140076";"";"193";"241";"";"1"
"140069";"123";"86";"108";"";"1"
"140068";"129";"90";"112";"";"1"
"140074";"51";"36";"45";"";"1"
"140075";"116";"81";"101";"";"1"
"140303";"";"1172";"1465";"1137";"1"
"140070";"168";"117";"146";"";"1"
"170230";"";"115";"144";"";"1"
"170228";"";"83";"104";"";"1"
"140163";"";"";" ";"";"1"
"170231";"";"177";"221";"";"1"
"140072";"70";"49";"61";"";"1"
"140073";"122";"85";"106";"";"1"
"140025";"";"101";"126";"";"1"
"170232";"";"115";"144";"";"1"
"140037";"";"228";"285";"";"1"
"140036";"";"228";"285";"";"1"
"140048";"281";"219";"274";"";"1"
"140050";"";"1026";"1282";"995";"1"
"140304";"";"522";"652";"";"1"
"140038";"";"228";"285";"";"1"
"140049";"539";"420";"525";"";"1"
"140030";"";"321";"401";"";"1"
"140080";"";"264";"330";"";"1"
"140131";"";"34";"42";"";"1"
"170241";"";"78";"98";"";"1"
"170242";"";"41";"51";"";"1"
"170240";"";"12";"15";"";"1"
"140138";"";"113";"141";"";"1"
"170243";"";"41";"51";"";"1"
"170239";"";"45";"56";"";"1"
"140148";"";"33";"41";"";"1"
"140163";"";"";" ";"";"1"
"170245";"";"126";"158";"";"1"
"180024";"";"127";"159";"";"1"
"170250";"";"29";"36";"";"1"
"170248";"";"97";"121";"";"1"
"180025";"";"127";"159";"";"1"
"170244";"";"126";"158";"";"1"
"170247";"";"86";"108";"";"1"
"140133";"";"86";"108";"";"1"
"140134";"";"74";"92";"";"1"
"140137";"";"57";"71";"";"8"
"140136";"";"74";"92";"";"1"
"140135";"";"74";"92";"";"1"
"180026";"";"113";"141";"";"1"
"140144";"";"20";"25";"";"1"
"180030";"";"97";"121";"";"1"
"180027";"";"113";"141";"";"1"
"180029";"";"46";"58";"";"1"
"180028";"97";"58";"72";"";"1"
"140145";"";"46";"58";"";"1"
"140150";"";"33";"41";"";"1"
"140149";"";"66";"82";"";"1"
"140151";"";"33";"41";"";"1"
"140157";"";"50";"62";"";"1"
"140156";"";"50";"62";"";"1"
"140159";"";"50";"62";"";"1"
"140162";"";"16";"20";"";"1"
"140158";"";"50";"62";"";"1"
"140161";"";"50";"62";"";"1"
"140160";"";"16";"20";"";"1"
"180036";"";"34";"42";"";"1"
"180033";"";"23";"29";"";"1"
"180032";"";"34";"42";"";"1"
"180037";"";"34";"42";"";"1"
"180034";"";"34";"42";"";"1"
"180031";"";"34";"42";"";"1"
"180035";"";"23";"29";"";"1"
"140175";"";"57";"71";"";"1"
"170249";"";"27";"34";"";"1"
"140166";"";"85";"106";"";"1"
"140170";"";"57";"71";"";"1"
"140193";"";"102";"128";"";"1"
"140190";"";"98";"122";"";"1"
"140172";"";"85";"106";"";"1"
"140191";"";"137";"171";"";"1"
"140192";"";"134";"168";"";"1"
"140194";"";"58";"72";"";"1"
"140196";"";"58";"72";"";"1"
"140195";"";"67";"84";"";"1"
"140197";"";"32";"40";"";"1"
"140200";"";"50";"62";"";"1"
"140199";"";"59";"74";"";"1"
"140308";"";"58";"72";"";"1"
"140201";"";"58";"72";"";"1"
"140088";"";"25";"31";"";"1"
"140090";"";"25";"31";"";"1"
"140091";"";"73";"91";"";"1"
"140089";"";"73";"91";"";"1"
"140092";"";"25";"31";"";"1"
"140094";"";"25";"31";"";"1"
"140096";"";"77";"96";"";"1"
"140095";"";"73";"91";"";"1"
"140093";"";"73";"91";"";"1"
"140097";"";"31";"39";"";"1"
"140099";"";"31";"39";"";"1"
"140098";"";"77";"96";"";"1"
"140100";"";"77";"96";"";"1"
"140103";"";"77";"96";"";"1"
"140101";"";"77";"96";"";"1"
"140102";"";"31";"39";"";"1"
"140104";"";"31";"39";"";"1"
"140106";"";"31";"39";"";"1"
"140105";"";"77";"96";"";"1"
"140107";"";"77";"96";"";"1"
"140109";"";"77";"96";"";"1"
"140110";"";"13";"16";"";"1"
"140108";"";"31";"39";"";"1"
"140111";"";"13";"16";"";"1"
"140125";"";"93";"116";"";"1"
"140124";"";"102";"128";"";"1"
"140112";"";"14";"18";"";"1"
"140117";"";"61";"76";"";"1"
"140115";"";"61";"76";"";"1"
"140126";"";"117";"146";"";"1"
"140116";"";"118";"148";"";"1"
"140127";"";"127";"159";"";"1"
"140086";"";"25";"31";"";"1"
"170234";"25";"21";"26";"";"1"
"180038";"";"25";"31";"";"1"
"170236";"";"51";"64";"";"1"
"170233";"1233";"961";"1201";"932";"1"
"140114";"";"51";"64";"";"1"
"170238";"";"51";"64";"";"1"
"140113";"";"51";"64";"";"1"
"170235";"";"51";"64";"";"1"
"140119";"";"97";"121";"";"1"
"170237";"";"51";"64";"";"1"
"140118";"";"97";"121";"";"1"
"140307";"";"97";"121";"";"1"
"140120";"";"19";"24";"";"1"
"140306";"";"97";"121";"";"1"
"140121";"";"97";"121";"";"1"
"140128";"";"40";"50";"";"1"
"140122";"";"19";"24";"";"1"
"140130";"";"106";"132";"";"1"
"140021";"";"175";"219";"";"1"
"140129";"";"56";"70";"";"1"
"140301";"";"66";"82";"";"1"
"140019";"";"24";"30";"";"12"
"140300";"";"66";"82";"";"1"
"170221";"";"96";"120";"";"1"
"170223";"";"66";"82";"";"1"
"140022";"";"66";"82";"";"1"
"170225";"";"15";"19";"";"1"
"140010";"";"22";"28";"";"30"
"140011";"";"22";"28";"";"30"
"140020";"";"23";"29";"";"24"
"170224";"";"27";"34";"";"18"
"170222";"";"390";"488";"";"1"
"140012";"";"22";"28";"";"30"
"140016";"";"24";"30";"";"12"
"140017";"";"24";"30";"";"12"
"140013";"";"22";"28";"";"30"
"140018";"";"24";"30";"";"12"
"140024";"";"31";"39";"";"6"
"160090";"";"108";"135";"";"1"
"160089";"";"69";"86";"";"1"
"170277";"";"72";"90";"";"1"
"160098";"";"137";"171";"";"1"
"160091";"";"138";"172";"";"1"
"160092";"";"114";"142";"";"1"
"160094";"";"113";"141";"";"1"
"160102";"";"68";"85";"";"1"
"160106";"";"68";"85";"";"1"
"160093";"";"147";"184";"";"1"
"160101";"";"68";"85";"";"1"
"160103";"";"68";"85";"";"1"
"160010";"";"115";"144";"";"1"
"160014";"";"145";"181";"";"1"
"160012";"";"29";"36";"";"1"
"160013";"";"153";"191";"";"1"
"160011";"";"29";"36";"";"1"
"170251";"";"54";"68";"";"1"
"170254";"";"17";"21";"";"1"
"170256";"";"29";"36";"";"1"
"170252";"";"155";"194";"";"1"
"170255";"";"17";"21";"";"1"
"160029";"49";"44";"55";"";"1"
"160062";"";"125";"156";"";"1"
"160020";"";"80";"100";"";"1"
"170266";"";"50";"62";"";"1"
"180039";"";"83";"104";"";"1"
"160061";"";"94";"118";"";"1"
"170262";"";"93";"116";"";"1"
"170259";"";"147";"184";"";"1"
"160017";"";"45";"56";"";"1"
"170264";"";"41";"51";"";"1"
"160016";"";"45";"56";"";"1"
"160022";"";"38";"48";"";"1"
"160024";"";"38";"48";"";"1"
"160025";"";"38";"48";"";"1"
"170265";"";"47";"59";"";"1"
"160027";"";"50";"62";"";"1"
"160040";"";"44";"55";"";"1"
"160037";"";"102";"128";"";"1"
"160041";"";"41";"51";"";"1"
"160034";"";"73";"91";"";"1"
"160036";"";"107";"134";"";"1"
"160031";"";"46";"58";"";"1"
"160033";"";"132";"165";"";"1"
"160030";"";"49";"61";"";"1"
"160032";"";"59";"74";"";"1"
"160039";"";"61";"76";"";"1"
"160044";"";"68";"85";"";"1"
"160054";"";"87";"109";"";"1"
"160048";"";"90";"112";"";"1"
"160056";"";"85";"106";"";"1"
"160052";"";"85";"106";"";"1"
"160045";"";"74";"92";"";"1"
"160055";"";"87";"109";"";"1"
"160053";"";"87";"109";"";"1"
"160057";"";"468";"585";"";"1"
"160046";"";"54";"68";"";"1"
"160051";"";"71";"89";"";"1"
"160060";"";"67";"84";"";"1"
"160049";"";"69";"86";"";"1"
"160063";"";"59";"74";"";"1"
"160077";"";"66";"82";"";"1"
"160065";"";"89";"111";"";"1"
"160069";"";"66";"82";"";"1"
"160067";"";"86";"108";"";"1"
"160079";"";"70";"88";"";"1"
"170270";"";"86";"108";"";"1"
"160073";"";"81";"101";"";"1"
"160068";"";"68";"85";"";"1"
"160082";"";"23";"29";"";"1"
"160081";"";"50";"62";"";"1"
"160076";"";"48";"60";"";"1"
"160074";"";"38";"48";"";"1"
"160105";"";"58";"72";"";"1"
"160084";"";"58";"72";"";"1"
"160072";"";"53";"66";"";"1"
"160071";"";"117";"146";"";"1"
"170272";"";"50";"62";"";"1"
"160080";"";"49";"61";"";"1"
"170271";"";"78";"98";"";"1"
"170268";"";"88";"110";"";"1"
"170274";"";"49";"61";"";"1"
"170269";"";"89";"111";"";"1"
"170273";"";"50";"62";"";"1"
"170275";"";"49";"61";"";"1"
"170267";"";"89";"111";"";"1"
"170012";"";"114";"142";"";"1"
"170011";"";"114";"142";"";"1"
"170276";"";"49";"61";"";"1"
"170333";"";"78";"98";"";"1"
"170335";"";"65";"81";"";"1"
"170047";"";"42";"52";"";"1"
"170325";"";"170";"212";"";"1"
"170334";"";"38";"48";"";"1"
"170338";"";"37";"46";"";"1"
"170324";"";"203";"254";"";"1"
"170322";"";"203";"254";"";"1"
"170328";"";"203";"254";"";"1"
"170336";"";"65";"81";"";"1"
"170331";"";"46";"58";"";"1"
"170017";"";"46";"58";"";"1"
"170013";"";"68";"85";"";"1"
"170014";"";"106";"132";"";"1"
"170018";"";"46";"58";"";"1"
"170021";"";"46";"58";"";"1"
"170020";"";"106";"132";"";"1"
"170019";"";"46";"58";"";"1"
"170022";"";"106";"132";"";"1"
"170015";"";"46";"58";"";"1"
"170016";"";"109";"136";"";"1"
"170340";"";"50";"62";"";"1"
"170023";"";"50";"62";"";"1"
"170024";"146";"104";"130";"";"1"
"170025";"";"104";"130";"";"1"
"170028";"";"71";"89";"";"1"
"170029";"";"71";"89";"";"1"
"170030";"";"71";"89";"";"1"
"170027";"";"71";"89";"";"1"
"170026";"289";"217";"271";"";"1"
"170031";"";"71";"89";"";"1"
"170033";"";"63";"79";"";"1"
"170032";"";"71";"89";"";"1"
"170036";"";"65";"81";"";"1"
"170038";"";"65";"81";"";"1"
"170039";"";"65";"81";"";"1"
"170040";"";"65";"81";"";"1"
"170041";"";"63";"79";"";"1"
"170042";"";"65";"81";"";"1"
"170035";"";"65";"81";"";"1"
"170043";"";"65";"81";"";"1"
"170049";"";"109";"136";"";"1"
"170053";"";"109";"136";"";"1"
"170050";"";"109";"136";"";"1"
"170052";"";"99";"124";"";"1"
"170055";"";"65";"81";"";"1"
"170176";"";"99";"124";"";"1"
"170054";"";"231";"289";"";"1"
"170056";"";"99";"124";"";"1"
"170048";"";"65";"81";"";"1"
"170058";"";"99";"124";"";"1"
"170059";"";"65";"81";"";"1"
"170057";"";"65";"81";"";"1"
"170177";"";"99";"124";"";"1"
"170060";"";"75";"94";"";"1"
"170339";"";"75";"94";"";"1"
"170065";"";"75";"94";"";"1"
"170066";"";"75";"94";"";"1"
"170062";"";"75";"94";"";"1"
"170063";"";"88";"110";"";"1"
"170068";"";"191";"239";"";"1"
"180041";"";"117";"146";"";"1"
"170067";"";"75";"94";"";"1"
"170323";"";"88";"110";"";"1"
"180040";"";"75";"94";"";"1"
"170326";"";"58";"72";"";"1"
"170074";"";"126";"158";"";"1"
"170073";"";"76";"95";"";"1"
"170076";"";"76";"95";"";"1"
"180042";"";"143";"179";"";"1"
"170329";"";"76";"95";"";"1"
"170077";"";"126";"158";"";"1"
"170078";"";"126";"158";"";"1"
"170080";"";"76";"95";"";"1"
"170079";"";"76";"95";"";"1"
"170083";"";"76";"95";"";"1"
"170075";"";"76";"95";"";"1"
"170082";"";"118";"148";"";"1"
"170081";"";"76";"95";"";"1"
"170341";"";"65";"81";"";"1"
"170084";"";"267";"334";"";"1"
"170337";"";"76";"95";"";"1"
"170096";"";"31";"39";"";"1"
"170102";"";"62";"78";"";"1"
"170103";"";"62";"78";"";"1"
"170095";"";"31";"39";"";"1"
"170104";"";"53";"66";"";"1"
"170105";"";"64";"80";"";"1"
"170107";"";"108";"135";"";"1"
"170330";"";"102";"128";"";"1"
"170110";"";"78";"98";"";"1"
"170112";"";"27";"34";"";"1"
"170126";"";"66";"82";"";"1"
"170113";"";"56";"70";"";"1"
"170114";"";"79";"99";"";"1"
"170108";"";"32";"40";"";"1"
"170121";"";"23";"29";"";"1"
"170111";"";"78";"98";"";"1"
"170115";"";"34";"42";"";"1"
"170116";"";"60";"75";"";"1"
"170117";"";"108";"135";"";"1"
"170120";"";"60";"75";"";"1"
"170118";"";"37";"46";"";"1"
"170119";"";"67";"84";"";"1"
"170351";"";"30";"38";"";"1"
"170346";"";"68";"85";"";"1"
"170352";"";"25";"31";"";"1"
"170343";"46";"23";"29";"";"1"
"170350";"";"27";"34";"";"1"
"170349";"";"45";"56";"";"1"
"170354";"";"21";"26";"";"1"
"170353";"";"23";"29";"";"1"
"170355";"";"25";"31";"";"1"
"170344";"";"169";"211";"";"1"
"170128";"";"25";"31";"";"1"
"170129";"";"25";"31";"";"1"
"170159";"";"35";"44";"";"1"
"170133";"";"27";"34";"";"1"
"170132";"";"64";"80";"";"1"
"170131";"";"27";"34";"";"1"
"170140";"";"30";"38";"";"1"
"170141";"";"44";"55";"";"1"
"170134";"";"45";"56";"";"1"
"170143";"";"45";"56";"";"1"
"170135";"";"25";"31";"";"1"
"170142";"";"45";"56";"";"1"
